[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,6264
Overall Drift (nm/s),299.97
X-Drift (nm/s),-273.37
Y-Drift (nm/s),123.48
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),249.00
Mean (E4 nm^2/s),377.60
Standard Deviation (E4 nm^2/s),193.78

User Line 1,354
User Line 2,0
Average # centres/frame,98.47
Average # particles/frame,81.00
Equivalent particle concentration (E8 particles/ml),12.17
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.00
Viscosity (cP),0.909

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
734,0.3687,,
735,0.3667,,
736,0.3647,,
737,0.3627,,
738,0.3608,,
739,0.3588,,
740,0.3569,,
741,0.3550,,
742,0.3531,,
743,0.3512,,
744,0.3494,,
745,0.3476,,
746,0.3458,,
747,0.3440,,
748,0.3422,,
749,0.3405,,
750,0.3387,,
751,0.3370,,
752,0.3353,,
753,0.3337,,
754,0.3320,,
755,0.3304,,
756,0.3287,,
757,0.3271,,
758,0.3255,,
759,0.3240,,
760,0.3224,,
761,0.3209,,
762,0.3194,,
763,0.3179,,
764,0.3164,,
765,0.3149,,
766,0.3134,,
767,0.3120,,
768,0.3106,,
769,0.3092,,
770,0.3078,,
771,0.3064,,
772,0.3050,,
773,0.3036,,
774,0.3023,,
775,0.3010,,
776,0.2997,,
777,0.2983,,
778,0.2971,,
779,0.2958,,
780,0.2945,,
781,0.2933,,
782,0.2920,,
783,0.2908,,
784,0.2896,,
785,0.2883,,
786,0.2871,,
787,0.2859,,
788,0.2848,,
789,0.2836,,
790,0.2824,,
791,0.2813,,
792,0.2801,,
793,0.2790,,
794,0.2779,,
795,0.2768,,
796,0.2756,,
797,0.2745,,
798,0.2734,,
799,0.2724,,
800,0.2713,,
801,0.2702,,
802,0.2691,,
803,0.2681,,
804,0.2670,,
805,0.2660,,
806,0.2649,,
807,0.2639,,
808,0.2628,,
809,0.2618,,
810,0.2608,,
811,0.2597,,
812,0.2587,,
813,0.2577,,
814,0.2567,,
815,0.2557,,
816,0.2547,,
817,0.2537,,
818,0.2527,,
819,0.2517,,
820,0.2507,,
821,0.2497,,
822,0.2487,,
823,0.2477,,
824,0.2467,,
825,0.2458,,
826,0.2448,,
827,0.2438,,
828,0.2428,,
829,0.2418,,
830,0.2408,,
831,0.2399,,
832,0.2389,,
833,0.2379,,
834,0.2369,,
835,0.2360,,
836,0.2350,,
837,0.2340,,
838,0.2330,,
839,0.2320,,
840,0.2311,,
841,0.2301,,
842,0.2291,,
843,0.2281,,
844,0.2271,,
845,0.2262,,
846,0.2252,,
847,0.2242,,
848,0.2232,,
849,0.2222,,
850,0.2212,,
851,0.2202,,
852,0.2193,,
853,0.2183,,
854,0.2173,,
855,0.2163,,
856,0.2153,,
857,0.2143,,
858,0.2133,,
859,0.2123,,
860,0.2113,,
861,0.2103,,
862,0.2093,,
863,0.2083,,
864,0.2073,,
865,0.2063,,
866,0.2053,,
867,0.2043,,
868,0.2033,,
869,0.2022,,
870,0.2012,,
871,0.2002,,
872,0.1992,,
873,0.1982,,
874,0.1972,,
875,0.1962,,
876,0.1952,,
877,0.1941,,
878,0.1931,,
879,0.1921,,
880,0.1911,,
881,0.1901,,
882,0.1890,,
883,0.1880,,
884,0.1870,,
885,0.1860,,
886,0.1849,,
887,0.1839,,
888,0.1829,,
889,0.1819,,
890,0.1809,,
891,0.1798,,
892,0.1788,,
893,0.1778,,
894,0.1768,,
895,0.1757,,
896,0.1747,,
897,0.1737,,
898,0.1727,,
899,0.1717,,
900,0.1706,,
901,0.1696,,
902,0.1686,,
903,0.1676,,
904,0.1666,,
905,0.1656,,
906,0.1645,,
907,0.1635,,
908,0.1625,,
909,0.1615,,
910,0.1605,,
911,0.1595,,
912,0.1585,,
913,0.1575,,
914,0.1565,,
915,0.1555,,
916,0.1545,,
917,0.1535,,
918,0.1525,,
919,0.1516,,
920,0.1506,,
921,0.1496,,
922,0.1486,,
923,0.1477,,
924,0.1467,,
925,0.1457,,
926,0.1448,,
927,0.1438,,
928,0.1429,,
929,0.1419,,
930,0.1410,,
931,0.1400,,
932,0.1391,,
933,0.1381,,
934,0.1372,,
935,0.1363,,
936,0.1354,,
937,0.1345,,
938,0.1335,,
939,0.1326,,
940,0.1317,,
941,0.1308,,
942,0.1300,,
943,0.1291,,
944,0.1282,,
945,0.1273,,
946,0.1264,,
947,0.1256,,
948,0.1247,,
949,0.1239,,
950,0.1230,,
951,0.1222,,
952,0.1213,,
953,0.1205,,
954,0.1197,,
955,0.1189,,
956,0.1180,,
957,0.1172,,
958,0.1164,,
959,0.1156,,
960,0.1148,,
961,0.1141,,
962,0.1133,,
963,0.1125,,
964,0.1118,,
965,0.1110,,
966,0.1102,,
967,0.1095,,
968,0.1088,,
969,0.1080,,
970,0.1073,,
971,0.1066,,
972,0.1059,,
973,0.1051,,
974,0.1044,,
975,0.1038,,
976,0.1031,,
977,0.1024,,
978,0.1017,,
979,0.1010,,
980,0.1004,,
981,0.0997,,
982,0.0991,,
983,0.0984,,
984,0.0978,,
985,0.0971,,
986,0.0965,,
987,0.0959,,
988,0.0953,,
989,0.0947,,
990,0.0941,,
991,0.0935,,
992,0.0929,,
993,0.0923,,
994,0.0917,,
995,0.0911,,
996,0.0906,,
997,0.0900,,
998,0.0895,,
999,0.0889,,
1000,0.0884,,
1001,0.0878,,
1002,0.0873,,
1003,0.0868,,
1004,0.0863,,
1005,0.0857,,
1006,0.0852,,
1007,0.0847,,
1008,0.0842,,
1009,0.0837,,
1010,0.0833,,
1011,0.0828,,
1012,0.0823,,
1013,0.0818,,
1014,0.0814,,
1015,0.0809,,
1016,0.0804,,
1017,0.0800,,
1018,0.0795,,
1019,0.0791,,
1020,0.0787,,
1021,0.0782,,
1022,0.0778,,
1023,0.0774,,
1024,0.0770,,
1025,0.0765,,
1026,0.0761,,
1027,0.0757,,
1028,0.0753,,
1029,0.0749,,
1030,0.0745,,
1031,0.0741,,
1032,0.0738,,
