[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,10891
Overall Drift (nm/s),1032.15
X-Drift (nm/s),-453.33
Y-Drift (nm/s),927.27
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),293.00
Mean (E4 nm^2/s),680.92
Standard Deviation (E4 nm^2/s),371.37

User Line 1,205
User Line 2,588
Average # centres/frame,191.16
Average # particles/frame,149.63
Equivalent particle concentration (E8 particles/ml),23.38
Selected average # particles/frame,66.70
Selected equivalent particle concentration (E8 particles/ml),10.42

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,300
Frame rate (fps),30.00
Temperature (°C),23.80
Viscosity (cP),0.914

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
397,2.8045,,
398,2.8027,,
399,2.8009,,
400,2.7991,,
401,2.7973,,
402,2.7954,,
403,2.7936,,
404,2.7918,,
405,2.7900,,
406,2.7882,,
407,2.7864,,
408,2.7847,,
409,2.7830,,
410,2.7814,,
411,2.7798,,
412,2.7782,,
413,2.7767,,
414,2.7753,,
415,2.7739,,
416,2.7725,,
417,2.7713,,
418,2.7700,,
419,2.7688,,
420,2.7677,,
421,2.7666,,
422,2.7655,,
423,2.7645,,
424,2.7635,,
425,2.7625,,
426,2.7615,,
427,2.7606,,
428,2.7596,,
429,2.7587,,
430,2.7577,,
431,2.7567,,
432,2.7557,,
433,2.7546,,
434,2.7536,,
435,2.7524,,
436,2.7513,,
437,2.7500,,
438,2.7487,,
439,2.7473,,
440,2.7459,,
441,2.7444,,
442,2.7428,,
443,2.7411,,
444,2.7393,,
445,2.7374,,
446,2.7354,,
447,2.7333,,
448,2.7311,,
449,2.7289,,
450,2.7265,,
451,2.7240,,
452,2.7214,,
453,2.7187,,
454,2.7159,,
455,2.7131,,
456,2.7101,,
457,2.7070,,
458,2.7039,,
459,2.7006,,
460,2.6973,,
461,2.6940,,
462,2.6905,,
463,2.6870,,
464,2.6835,,
465,2.6799,,
466,2.6763,,
467,2.6726,,
468,2.6689,,
469,2.6651,,
470,2.6614,,
471,2.6576,,
472,2.6538,,
473,2.6501,,
474,2.6463,,
475,2.6426,,
476,2.6388,,
477,2.6351,,
478,2.6315,,
479,2.6278,,
480,2.6242,,
481,2.6207,,
482,2.6172,,
483,2.6138,,
484,2.6104,,
485,2.6071,,
486,2.6038,,
487,2.6007,,
488,2.5976,,
489,2.5946,,
490,2.5917,,
491,2.5888,,
492,2.5861,,
493,2.5834,,
494,2.5809,,
495,2.5784,,
496,2.5760,,
497,2.5737,,
498,2.5716,,
499,2.5695,,
500,2.5675,,
501,2.5656,,
502,2.5637,,
503,2.5620,,
504,2.5604,,
505,2.5588,,
506,2.5574,,
507,2.5560,,
508,2.5547,,
509,2.5535,,
510,2.5524,,
511,2.5514,,
512,2.5504,,
513,2.5495,,
514,2.5487,,
515,2.5479,,
516,2.5472,,
517,2.5465,,
518,2.5460,,
519,2.5454,,
520,2.5449,,
521,2.5445,,
522,2.5441,,
523,2.5438,,
524,2.5435,,
525,2.5432,,
526,2.5430,,
527,2.5428,,
528,2.5427,,
529,2.5425,,
530,2.5424,,
531,2.5424,,
532,2.5423,,
533,2.5423,,
534,2.5423,,
535,2.5423,,
536,2.5423,,
537,2.5423,,
538,2.5424,,
539,2.5424,,
540,2.5425,,
541,2.5425,,
542,2.5426,,
543,2.5427,,
544,2.5427,,
545,2.5428,,
546,2.5428,,
547,2.5429,,
548,2.5429,,
549,2.5430,,
550,2.5430,,
551,2.5430,,
552,2.5430,,
553,2.5430,,
554,2.5430,,
555,2.5429,,
556,2.5429,,
557,2.5428,,
558,2.5427,,
559,2.5426,,
560,2.5424,,
561,2.5423,,
562,2.5421,,
563,2.5418,,
564,2.5416,,
565,2.5413,,
566,2.5409,,
567,2.5406,,
568,2.5402,,
569,2.5397,,
570,2.5393,,
571,2.5387,,
572,2.5382,,
573,2.5376,,
574,2.5369,,
575,2.5362,,
576,2.5355,,
577,2.5347,,
578,2.5338,,
579,2.5329,,
580,2.5319,,
581,2.5309,,
582,2.5298,,
583,2.5287,,
584,2.5275,,
585,2.5262,,
586,2.5249,,
587,2.5235,,
588,2.5220,,
589,2.5205,,
590,2.5189,,
591,2.5173,,
592,2.5155,,
593,2.5137,,
594,2.5119,,
595,2.5099,,
596,2.5079,,
597,2.5058,,
598,2.5037,,
599,2.5014,,
600,2.4991,,
601,2.4967,,
602,2.4943,,
603,2.4918,,
604,2.4892,,
605,2.4865,,
606,2.4838,,
607,2.4810,,
608,2.4781,,
