[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,3494
Overall Drift (nm/s),78.97
X-Drift (nm/s),-44.71
Y-Drift (nm/s),65.10
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),499.00
Mean (nm),592.55
Standard Deviation (nm),202.78
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,0
User Line 2,0
Average # centres/frame,97.28
Average # particles/frame,81.40
Equivalent particle concentration (E8 particles/ml),12.87
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,38
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,250
Frame rate (fps),30.00
Temperature (°C),23.60
Viscosity (cP),0.918

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
630,90.3926,,
631,89.8651,,
632,89.3453,,
633,88.8329,,
634,88.3266,,
635,87.8275,,
636,87.3359,,
637,86.8500,,
638,86.3723,,
639,85.9016,,
640,85.4386,,
641,84.9834,,
642,84.5355,,
643,84.0949,,
644,83.6617,,
645,83.2352,,
646,82.8175,,
647,82.4048,,
648,82.0012,,
649,81.6053,,
650,81.2157,,
651,80.8352,,
652,80.4619,,
653,80.0963,,
654,79.7379,,
655,79.3873,,
656,79.0432,,
657,78.7070,,
658,78.3779,,
659,78.0572,,
660,77.7441,,
661,77.4383,,
662,77.1400,,
663,76.8489,,
664,76.5652,,
665,76.2920,,
666,76.0231,,
667,75.7619,,
668,75.5072,,
669,75.2601,,
670,75.0209,,
671,74.7873,,
672,74.5620,,
673,74.3440,,
674,74.1332,,
675,73.9291,,
676,73.7320,,
677,73.5425,,
678,73.3588,,
679,73.1818,,
680,73.0122,,
681,72.8480,,
682,72.6879,,
683,72.5364,,
684,72.3911,,
685,72.2504,,
686,72.1168,,
687,71.9882,,
688,71.8651,,
689,71.7479,,
690,71.6357,,
691,71.5296,,
692,71.4276,,
693,71.3301,,
694,71.2366,,
695,71.1462,,
696,71.0616,,
697,70.9802,,
698,70.9030,,
699,70.8286,,
700,70.7571,,
701,70.6899,,
702,70.6247,,
703,70.5625,,
704,70.5031,,
705,70.4450,,
706,70.3888,,
707,70.3340,,
708,70.2809,,
709,70.2284,,
710,70.1756,,
711,70.1243,,
712,70.0742,,
713,70.0235,,
714,69.9737,,
715,69.9219,,
716,69.8710,,
717,69.8193,,
718,69.7664,,
719,69.7121,,
720,69.6555,,
721,69.5970,,
722,69.5388,,
723,69.4772,,
724,69.4132,,
725,69.3455,,
726,69.2759,,
727,69.2035,,
728,69.1279,,
729,69.0491,,
730,68.9666,,
731,68.8804,,
732,68.7901,,
733,68.6957,,
734,68.5973,,
735,68.4947,,
736,68.3875,,
737,68.2747,,
738,68.1584,,
739,68.0358,,
740,67.9097,,
741,67.7790,,
742,67.6422,,
743,67.5011,,
744,67.3550,,
745,67.2033,,
746,67.0470,,
747,66.8854,,
748,66.7184,,
749,66.5457,,
750,66.3684,,
751,66.1849,,
752,65.9963,,
753,65.8032,,
754,65.6049,,
755,65.4014,,
756,65.1925,,
757,64.9786,,
758,64.7600,,
759,64.5353,,
760,64.3070,,
761,64.0736,,
762,63.8357,,
763,63.5934,,
764,63.3474,,
765,63.0963,,
766,62.8399,,
767,62.5805,,
768,62.3173,,
769,62.0502,,
770,61.7793,,
771,61.5044,,
772,61.2268,,
773,60.9471,,
774,60.6632,,
775,60.3757,,
776,60.0860,,
777,59.7938,,
778,59.4993,,
779,59.2026,,
780,58.9036,,
781,58.6010,,
782,58.2987,,
783,57.9948,,
784,57.6896,,
785,57.3831,,
786,57.0755,,
787,56.7672,,
788,56.4581,,
789,56.1494,,
790,55.8394,,
791,55.5294,,
792,55.2193,,
793,54.9095,,
794,54.5999,,
795,54.2910,,
796,53.9826,,
797,53.6751,,
798,53.3688,,
799,53.0637,,
800,52.7598,,
801,52.4575,,
802,52.1568,,
803,51.8579,,
804,51.5609,,
805,51.2654,,
806,50.9727,,
807,50.6823,,
808,50.3939,,
809,50.1080,,
810,49.8254,,
811,49.5407,,
812,49.2642,,
813,48.9903,,
814,48.7196,,
815,48.4520,,
816,48.1877,,
817,47.9271,,
818,47.6699,,
819,47.4160,,
820,47.1661,,
821,46.9195,,
822,46.6770,,
823,46.4383,,
824,46.2034,,
825,45.9725,,
826,45.7455,,
827,45.5226,,
828,45.3036,,
829,45.0888,,
830,44.8781,,
831,44.6715,,
832,44.4691,,
833,44.2708,,
834,44.0768,,
835,43.8870,,
836,43.7013,,
837,43.5197,,
838,43.3420,,
839,43.1691,,
840,43.0003,,
841,42.8358,,
842,42.6737,,
843,42.5176,,
844,42.3655,,
845,42.2176,,
846,42.0733,,
847,41.9334,,
848,41.7975,,
849,41.6654,,
850,41.5373,,
851,41.4128,,
852,41.2923,,
853,41.1766,,
854,41.0636,,
855,40.9541,,
856,40.8483,,
857,40.7459,,
858,40.6470,,
859,40.5507,,
860,40.4585,,
861,40.3695,,
862,40.2834,,
863,40.1999,,
864,40.1202,,
865,40.0432,,
866,39.9692,,
867,39.8980,,
868,39.8294,,
869,39.7633,,
870,39.6992,,
871,39.6380,,
872,39.5792,,
873,39.5226,,
874,39.4682,,
875,39.4158,,
876,39.3654,,
877,39.3168,,
878,39.2700,,
879,39.2248,,
880,39.1810,,
881,39.1383,,
882,39.0976,,
883,39.0582,,
884,39.0200,,
885,38.9829,,
886,38.9465,,
887,38.9113,,
888,38.8769,,
889,38.8432,,
890,38.8102,,
891,38.7773,,
892,38.7450,,
893,38.7133,,
894,38.6818,,
895,38.6505,,
896,38.6193,,
897,38.5878,,
898,38.5565,,
899,38.5250,,
900,38.4932,,
901,38.4610,,
902,38.4284,,
903,38.3943,,
904,38.3606,,
905,38.3236,,
906,38.2886,,
907,38.2528,,
908,38.2159,,
909,38.1782,,
910,38.1394,,
911,38.0994,,
912,38.0582,,
913,38.0150,,
914,37.9712,,
915,37.9261,,
916,37.8795,,
917,37.8314,,
918,37.7817,,
919,37.7300,,
920,37.6767,,
921,37.6220,,
922,37.5656,,
923,37.5070,,
924,37.4462,,
925,37.3841,,
926,37.3201,,
927,37.2541,,
928,37.1859,,
929,37.1158,,
930,37.0437,,
931,36.9694,,
932,36.8930,,
933,36.8144,,
934,36.7331,,
935,36.6501,,
936,36.5649,,
937,36.4768,,
938,36.3872,,
939,36.2953,,
940,36.2011,,
941,36.1044,,
942,36.0044,,
943,35.9035,,
944,35.8003,,
945,35.6948,,
946,35.5870,,
947,35.4766,,
948,35.3643,,
949,35.2497,,
950,35.1329,,
951,35.0138,,
952,34.8925,,
953,34.7687,,
954,34.6431,,
955,34.5152,,
956,34.3853,,
957,34.2532,,
958,34.1190,,
959,33.9827,,
960,33.8415,,
961,33.7011,,
962,33.5591,,
963,33.4151,,
964,33.2692,,
965,33.1213,,
966,32.9717,,
967,32.8202,,
968,32.6670,,
969,32.5120,,
970,32.3554,,
971,32.1971,,
972,32.0350,,
973,31.8733,,
974,31.7105,,
975,31.5462,,
976,31.3805,,
977,31.2134,,
978,31.0449,,
979,30.8752,,
980,30.7042,,
981,30.5320,,
982,30.3586,,
983,30.1842,,
984,30.0087,,
985,29.8322,,
986,29.6547,,
987,29.4764,,
988,29.2972,,
989,29.1169,,
990,28.9361,,
991,28.7542,,
992,28.5721,,
993,28.3894,,
994,28.2061,,
995,28.0218,,
996,27.8376,,
997,27.6529,,
998,27.4677,,
999,27.2823,,
1000,27.0967,,
1001,26.9109,,
1002,26.7249,,
1003,26.5387,,
1004,26.3524,,
1005,26.1660,,
1006,25.9796,,
1007,25.7932,,
1008,25.6069,,
1009,25.4207,,
1010,25.2347,,
1011,25.0485,,
1012,24.8629,,
1013,24.6775,,
1014,24.4920,,
1015,24.3073,,
1016,24.1229,,
1017,23.9385,,
1018,23.7550,,
1019,23.5719,,
1020,23.3893,,
1021,23.2072,,
1022,23.0253,,
1023,22.8438,,
1024,22.6635,,
1025,22.4838,,
1026,22.3048,,
1027,22.1265,,
1028,21.9488,,
1029,21.7715,,
1030,21.5954,,
1031,21.4200,,
1032,21.2454,,
1033,21.0717,,
1034,20.8987,,
1035,20.7266,,
1036,20.5553,,
