[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,900
Processed Frames,900
Valid Tracks,3394
Overall Drift (nm/s),365.87
X-Drift (nm/s),-328.74
Y-Drift (nm/s),160.60
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),279.00
Mean (E4 nm^2/s),414.92
Standard Deviation (E4 nm^2/s),211.11

User Line 1,354
User Line 2,0
Average # centres/frame,103.87
Average # particles/frame,85.36
Equivalent particle concentration (E8 particles/ml),12.79
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.20
Viscosity (cP),0.905

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
452,1.9510,,
453,1.9431,,
454,1.9353,,
455,1.9274,,
456,1.9195,,
457,1.9117,,
458,1.9038,,
459,1.8959,,
460,1.8880,,
461,1.8801,,
462,1.8722,,
463,1.8644,,
464,1.8565,,
465,1.8486,,
466,1.8408,,
467,1.8329,,
468,1.8251,,
469,1.8173,,
470,1.8095,,
471,1.8018,,
472,1.7941,,
473,1.7864,,
474,1.7787,,
475,1.7711,,
476,1.7635,,
477,1.7560,,
478,1.7485,,
479,1.7410,,
480,1.7337,,
481,1.7263,,
482,1.7190,,
483,1.7118,,
484,1.7047,,
485,1.6976,,
486,1.6905,,
487,1.6835,,
488,1.6765,,
489,1.6697,,
490,1.6629,,
491,1.6561,,
492,1.6494,,
493,1.6427,,
494,1.6361,,
495,1.6295,,
496,1.6230,,
497,1.6165,,
498,1.6101,,
499,1.6037,,
500,1.5974,,
501,1.5911,,
502,1.5848,,
503,1.5785,,
504,1.5723,,
505,1.5660,,
506,1.5598,,
507,1.5537,,
508,1.5475,,
509,1.5413,,
510,1.5352,,
511,1.5290,,
512,1.5228,,
513,1.5167,,
514,1.5105,,
515,1.5043,,
516,1.4981,,
517,1.4919,,
518,1.4857,,
519,1.4795,,
520,1.4732,,
521,1.4669,,
522,1.4606,,
523,1.4543,,
524,1.4480,,
525,1.4416,,
526,1.4352,,
527,1.4288,,
528,1.4223,,
529,1.4159,,
530,1.4094,,
531,1.4029,,
532,1.3963,,
533,1.3898,,
534,1.3832,,
535,1.3766,,
536,1.3700,,
537,1.3633,,
538,1.3567,,
539,1.3500,,
540,1.3433,,
541,1.3366,,
542,1.3299,,
543,1.3232,,
544,1.3165,,
545,1.3098,,
546,1.3031,,
547,1.2963,,
548,1.2896,,
549,1.2829,,
550,1.2761,,
551,1.2694,,
552,1.2627,,
553,1.2560,,
554,1.2494,,
555,1.2427,,
556,1.2360,,
557,1.2294,,
558,1.2228,,
559,1.2162,,
560,1.2096,,
561,1.2031,,
562,1.1965,,
563,1.1900,,
564,1.1835,,
565,1.1771,,
566,1.1707,,
567,1.1643,,
568,1.1579,,
569,1.1515,,
570,1.1453,,
571,1.1390,,
572,1.1327,,
573,1.1265,,
574,1.1203,,
575,1.1142,,
576,1.1081,,
577,1.1020,,
578,1.0960,,
579,1.0900,,
580,1.0840,,
581,1.0781,,
582,1.0722,,
583,1.0664,,
584,1.0606,,
585,1.0548,,
586,1.0490,,
587,1.0433,,
588,1.0376,,
589,1.0320,,
590,1.0264,,
591,1.0209,,
592,1.0154,,
593,1.0099,,
594,1.0045,,
595,0.9991,,
596,0.9937,,
597,0.9884,,
598,0.9831,,
599,0.9779,,
600,0.9727,,
601,0.9675,,
602,0.9624,,
603,0.9573,,
604,0.9523,,
605,0.9473,,
606,0.9423,,
607,0.9374,,
608,0.9325,,
609,0.9277,,
610,0.9229,,
611,0.9181,,
612,0.9134,,
613,0.9087,,
614,0.9041,,
615,0.8994,,
616,0.8949,,
617,0.8904,,
618,0.8859,,
619,0.8814,,
620,0.8770,,
621,0.8727,,
622,0.8683,,
623,0.8641,,
624,0.8598,,
625,0.8556,,
626,0.8514,,
627,0.8473,,
628,0.8432,,
629,0.8391,,
630,0.8351,,
631,0.8311,,
632,0.8272,,
633,0.8232,,
634,0.8194,,
635,0.8155,,
636,0.8117,,
637,0.8079,,
638,0.8041,,
639,0.8004,,
640,0.7967,,
641,0.7931,,
642,0.7894,,
643,0.7858,,
644,0.7822,,
645,0.7787,,
646,0.7752,,
647,0.7717,,
648,0.7682,,
649,0.7647,,
650,0.7613,,
651,0.7579,,
652,0.7545,,
653,0.7511,,
654,0.7478,,
655,0.7445,,
656,0.7411,,
657,0.7378,,
658,0.7346,,
659,0.7313,,
660,0.7280,,
661,0.7248,,
662,0.7216,,
663,0.7184,,
664,0.7152,,
665,0.7120,,
666,0.7088,,
667,0.7056,,
668,0.7025,,
669,0.6993,,
670,0.6961,,
671,0.6930,,
672,0.6898,,
673,0.6867,,
674,0.6836,,
675,0.6805,,
676,0.6773,,
677,0.6742,,
678,0.6711,,
679,0.6680,,
680,0.6649,,
681,0.6617,,
682,0.6586,,
683,0.6555,,
684,0.6524,,
685,0.6493,,
686,0.6462,,
687,0.6431,,
688,0.6399,,
689,0.6368,,
690,0.6337,,
691,0.6306,,
692,0.6275,,
693,0.6244,,
694,0.6212,,
695,0.6181,,
696,0.6150,,
697,0.6119,,
698,0.6088,,
699,0.6056,,
700,0.6025,,
701,0.5994,,
702,0.5963,,
703,0.5932,,
704,0.5900,,
705,0.5869,,
706,0.5838,,
707,0.5807,,
708,0.5776,,
709,0.5745,,
710,0.5714,,
711,0.5682,,
712,0.5651,,
713,0.5620,,
714,0.5590,,
715,0.5559,,
716,0.5528,,
717,0.5497,,
718,0.5466,,
719,0.5435,,
720,0.5405,,
721,0.5374,,
722,0.5344,,
723,0.5313,,
724,0.5283,,
725,0.5252,,
726,0.5222,,
727,0.5192,,
728,0.5162,,
729,0.5132,,
730,0.5102,,
731,0.5072,,
732,0.5043,,
733,0.5013,,
734,0.4984,,
735,0.4954,,
736,0.4925,,
737,0.4896,,
738,0.4867,,
739,0.4838,,
740,0.4810,,
741,0.4781,,
742,0.4753,,
743,0.4724,,
744,0.4696,,
