[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,""
Pre-treatmeant,""
Comments,"1ml Kaffee/9 ml dest. Wasser"

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,1971
Overall Drift (nm/s),311.31
X-Drift (nm/s),-2.62
Y-Drift (nm/s),-311.29
Calibration (nm/pixel),166

Size Data - Volume Weighted,
Mode (nm),428.00
Mean (nm),438.39
Standard Deviation (nm),212.67
Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00

User Line 1,0
User Line 2,0
Average # centres/frame,44.99
Average # particles/frame,33.55
Equivalent particle concentration (E8 particles/ml),5.08
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,31
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),6.44
Camera Gain,540
Frame rate (fps),30.00
Temperature (°C),23.30
Viscosity (cP),0.924

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Particle Size (nm),Volume Concentration (E12 nm³ / ml),,
509,6.0830,,
510,6.0471,,
511,6.0126,,
512,5.9791,,
513,5.9465,,
514,5.9147,,
515,5.8838,,
516,5.8537,,
517,5.8243,,
518,5.7957,,
519,5.7678,,
520,5.7405,,
521,5.7139,,
522,5.6879,,
523,5.6626,,
524,5.6379,,
525,5.6139,,
526,5.5903,,
527,5.5674,,
528,5.5451,,
529,5.5235,,
530,5.5024,,
531,5.4820,,
532,5.4622,,
533,5.4431,,
534,5.4247,,
535,5.4069,,
536,5.3899,,
537,5.3736,,
538,5.3579,,
539,5.3431,,
540,5.3288,,
541,5.3155,,
542,5.3025,,
543,5.2909,,
544,5.2800,,
545,5.2693,,
546,5.2601,,
547,5.2517,,
548,5.2441,,
549,5.2373,,
550,5.2312,,
551,5.2259,,
552,5.2214,,
553,5.2177,,
554,5.2148,,
555,5.2126,,
556,5.2112,,
557,5.2104,,
558,5.2104,,
559,5.2110,,
560,5.2123,,
561,5.2142,,
562,5.2166,,
563,5.2196,,
564,5.2231,,
565,5.2277,,
566,5.2323,,
567,5.2373,,
568,5.2415,,
569,5.2475,,
570,5.2538,,
571,5.2604,,
572,5.2672,,
573,5.2743,,
574,5.2815,,
575,5.2889,,
576,5.2964,,
577,5.3040,,
578,5.3116,,
579,5.3192,,
580,5.3268,,
581,5.3344,,
582,5.3418,,
583,5.3491,,
584,5.3563,,
585,5.3633,,
586,5.3701,,
587,5.3766,,
588,5.3829,,
589,5.3889,,
590,5.3945,,
591,5.3998,,
592,5.4048,,
593,5.4094,,
594,5.4136,,
595,5.4173,,
596,5.4206,,
597,5.4234,,
598,5.4258,,
599,5.4277,,
600,5.4290,,
601,5.4298,,
602,5.4301,,
603,5.4299,,
604,5.4291,,
605,5.4278,,
606,5.4258,,
607,5.4233,,
608,5.4203,,
609,5.4165,,
610,5.4122,,
611,5.4074,,
612,5.4019,,
613,5.3957,,
614,5.3890,,
615,5.3816,,
616,5.3736,,
617,5.3650,,
618,5.3558,,
619,5.3459,,
620,5.3354,,
621,5.3243,,
622,5.3126,,
623,5.3001,,
624,5.2872,,
625,5.2736,,
626,5.2593,,
627,5.2445,,
628,5.2291,,
629,5.2129,,
630,5.1963,,
631,5.1788,,
632,5.1610,,
633,5.1426,,
634,5.1235,,
635,5.1043,,
636,5.0841,,
637,5.0634,,
638,5.0421,,
639,5.0202,,
640,4.9978,,
641,4.9749,,
642,4.9511,,
643,4.9271,,
644,4.9027,,
645,4.8777,,
646,4.8523,,
647,4.8262,,
648,4.7998,,
649,4.7729,,
650,4.7456,,
651,4.7179,,
652,4.6897,,
653,4.6612,,
654,4.6323,,
655,4.6030,,
656,4.5733,,
657,4.5434,,
658,4.5130,,
659,4.4824,,
660,4.4514,,
661,4.4202,,
662,4.3887,,
663,4.3570,,
664,4.3250,,
665,4.2928,,
666,4.2604,,
667,4.2278,,
668,4.1950,,
669,4.1621,,
670,4.1291,,
671,4.0960,,
672,4.0627,,
673,4.0294,,
674,3.9961,,
675,3.9627,,
676,3.9293,,
677,3.8959,,
678,3.8625,,
679,3.8291,,
680,3.7958,,
681,3.7625,,
682,3.7294,,
683,3.6963,,
684,3.6634,,
685,3.6305,,
686,3.5978,,
687,3.5652,,
688,3.5329,,
689,3.5008,,
690,3.4689,,
691,3.4373,,
692,3.4059,,
693,3.3748,,
694,3.3439,,
695,3.3133,,
696,3.2830,,
697,3.2530,,
698,3.2233,,
699,3.1940,,
700,3.1650,,
701,3.1363,,
702,3.1080,,
703,3.0801,,
704,3.0525,,
705,3.0253,,
706,2.9985,,
707,2.9721,,
708,2.9461,,
709,2.9205,,
710,2.8953,,
711,2.8706,,
712,2.8462,,
713,2.8221,,
714,2.7987,,
715,2.7756,,
716,2.7529,,
717,2.7307,,
718,2.7089,,
719,2.6876,,
720,2.6666,,
721,2.6461,,
722,2.6260,,
723,2.6063,,
724,2.5870,,
725,2.5678,,
726,2.5494,,
727,2.5314,,
728,2.5138,,
729,2.4970,,
730,2.4802,,
731,2.4637,,
732,2.4476,,
733,2.4319,,
734,2.4165,,
735,2.4015,,
736,2.3868,,
737,2.3725,,
738,2.3585,,
739,2.3444,,
740,2.3310,,
741,2.3179,,
742,2.3051,,
743,2.2926,,
744,2.2804,,
745,2.2684,,
746,2.2566,,
747,2.2451,,
748,2.2338,,
749,2.2228,,
750,2.2119,,
751,2.2013,,
752,2.1908,,
753,2.1805,,
754,2.1704,,
755,2.1604,,
756,2.1506,,
757,2.1409,,
758,2.1314,,
759,2.1220,,
760,2.1127,,
761,2.1035,,
762,2.0945,,
763,2.0855,,
764,2.0766,,
765,2.0677,,
766,2.0590,,
767,2.0503,,
768,2.0417,,
769,2.0331,,
770,2.0246,,
771,2.0161,,
772,2.0075,,
773,1.9989,,
774,1.9906,,
775,1.9822,,
776,1.9739,,
777,1.9655,,
778,1.9572,,
779,1.9489,,
780,1.9406,,
781,1.9324,,
782,1.9240,,
783,1.9157,,
784,1.9074,,
785,1.8991,,
786,1.8909,,
787,1.8826,,
788,1.8743,,
789,1.8661,,
790,1.8578,,
791,1.8494,,
792,1.8412,,
793,1.8329,,
794,1.8247,,
795,1.8165,,
796,1.8083,,
797,1.8000,,
798,1.7918,,
799,1.7837,,
800,1.7755,,
801,1.7674,,
802,1.7594,,
803,1.7514,,
804,1.7434,,
805,1.7354,,
806,1.7275,,
807,1.7196,,
808,1.7118,,
809,1.7038,,
810,1.6961,,
811,1.6885,,
812,1.6809,,
813,1.6734,,
814,1.6659,,
815,1.6586,,
816,1.6512,,
817,1.6440,,
818,1.6368,,
819,1.6298,,
820,1.6229,,
821,1.6160,,
822,1.6093,,
823,1.6026,,
824,1.5960,,
825,1.5896,,
826,1.5832,,
827,1.5770,,
828,1.5708,,
829,1.5648,,
830,1.5589,,
831,1.5530,,
832,1.5473,,
833,1.5418,,
834,1.5363,,
835,1.5309,,
836,1.5257,,
837,1.5206,,
838,1.5156,,
839,1.5107,,
840,1.5060,,
841,1.5013,,
842,1.4968,,
843,1.4924,,
844,1.4881,,
845,1.4839,,
846,1.4799,,
847,1.4760,,
848,1.4721,,
849,1.4684,,
850,1.4648,,
851,1.4614,,
852,1.4580,,
853,1.4548,,
854,1.4511,,
855,1.4481,,
856,1.4452,,
857,1.4424,,
858,1.4398,,
859,1.4372,,
860,1.4347,,
861,1.4323,,
862,1.4301,,
863,1.4279,,
864,1.4258,,
865,1.4238,,
866,1.4219,,
867,1.4201,,
868,1.4184,,
869,1.4168,,
870,1.4153,,
871,1.4139,,
872,1.4125,,
873,1.4113,,
874,1.4101,,
875,1.4090,,
876,1.4080,,
877,1.4071,,
878,1.4063,,
879,1.4056,,
880,1.4049,,
881,1.4044,,
882,1.4039,,
883,1.4035,,
884,1.4032,,
885,1.4030,,
886,1.4028,,
887,1.4028,,
888,1.4028,,
889,1.4030,,
890,1.4032,,
891,1.4035,,
892,1.4038,,
893,1.4043,,
894,1.4049,,
