[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,1800
Processed Frames,1800
Valid Tracks,4706
Overall Drift (nm/s),65.21
X-Drift (nm/s),-65.17
Y-Drift (nm/s),-2.22
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),231.00
Mean (E4 nm^2/s),545.69
Standard Deviation (E4 nm^2/s),310.71

User Line 1,0
User Line 2,0
Average # centres/frame,92.68
Average # particles/frame,67.91
Equivalent particle concentration (E8 particles/ml),11.03
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,32
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.14
Camera Gain,404
Frame rate (fps),30.00
Temperature (°C),24.60
Viscosity (cP),0.897

[Warnings]
Low Completed Tracks,No
High Noise,1 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected >~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
816,0.7034,,
817,0.7009,,
818,0.6984,,
819,0.6959,,
820,0.6935,,
821,0.6910,,
822,0.6886,,
823,0.6862,,
824,0.6838,,
825,0.6814,,
826,0.6790,,
827,0.6766,,
828,0.6743,,
829,0.6719,,
830,0.6696,,
831,0.6673,,
832,0.6650,,
833,0.6627,,
834,0.6604,,
835,0.6582,,
836,0.6559,,
837,0.6537,,
838,0.6515,,
839,0.6493,,
840,0.6471,,
841,0.6450,,
842,0.6428,,
843,0.6407,,
844,0.6386,,
845,0.6365,,
846,0.6345,,
847,0.6324,,
848,0.6304,,
849,0.6284,,
850,0.6264,,
851,0.6244,,
852,0.6224,,
853,0.6205,,
854,0.6185,,
855,0.6166,,
856,0.6147,,
857,0.6129,,
858,0.6110,,
859,0.6092,,
860,0.6073,,
861,0.6055,,
862,0.6037,,
863,0.6020,,
864,0.6002,,
865,0.5985,,
866,0.5967,,
867,0.5950,,
868,0.5933,,
869,0.5917,,
870,0.5900,,
871,0.5884,,
872,0.5867,,
873,0.5851,,
874,0.5835,,
875,0.5819,,
876,0.5804,,
877,0.5788,,
878,0.5773,,
879,0.5757,,
880,0.5742,,
881,0.5727,,
882,0.5712,,
883,0.5698,,
884,0.5683,,
885,0.5668,,
886,0.5654,,
887,0.5640,,
888,0.5625,,
889,0.5611,,
890,0.5597,,
891,0.5583,,
892,0.5570,,
893,0.5556,,
894,0.5542,,
895,0.5529,,
896,0.5515,,
897,0.5502,,
898,0.5489,,
899,0.5475,,
900,0.5462,,
901,0.5449,,
902,0.5436,,
903,0.5423,,
904,0.5410,,
905,0.5398,,
906,0.5385,,
907,0.5372,,
908,0.5359,,
909,0.5347,,
910,0.5334,,
911,0.5322,,
912,0.5309,,
913,0.5297,,
914,0.5284,,
915,0.5272,,
916,0.5259,,
917,0.5247,,
918,0.5235,,
919,0.5222,,
920,0.5210,,
921,0.5198,,
922,0.5186,,
923,0.5173,,
924,0.5161,,
925,0.5149,,
926,0.5137,,
927,0.5124,,
928,0.5112,,
929,0.5100,,
930,0.5088,,
931,0.5075,,
932,0.5063,,
933,0.5051,,
934,0.5038,,
935,0.5026,,
936,0.5014,,
937,0.5001,,
938,0.4989,,
939,0.4977,,
940,0.4964,,
941,0.4952,,
942,0.4939,,
943,0.4927,,
944,0.4914,,
945,0.4902,,
946,0.4889,,
947,0.4876,,
948,0.4864,,
949,0.4851,,
950,0.4838,,
951,0.4825,,
952,0.4813,,
953,0.4800,,
954,0.4787,,
955,0.4774,,
956,0.4761,,
957,0.4748,,
958,0.4735,,
959,0.4722,,
960,0.4708,,
961,0.4695,,
962,0.4682,,
963,0.4669,,
964,0.4655,,
965,0.4642,,
966,0.4628,,
967,0.4615,,
968,0.4601,,
969,0.4588,,
970,0.4574,,
971,0.4560,,
972,0.4546,,
973,0.4532,,
974,0.4519,,
975,0.4505,,
976,0.4491,,
977,0.4477,,
978,0.4462,,
979,0.4448,,
980,0.4434,,
981,0.4420,,
982,0.4405,,
983,0.4391,,
984,0.4377,,
985,0.4362,,
986,0.4348,,
987,0.4333,,
988,0.4318,,
989,0.4304,,
990,0.4289,,
991,0.4274,,
992,0.4259,,
993,0.4244,,
994,0.4229,,
995,0.4214,,
996,0.4199,,
997,0.4184,,
998,0.4169,,
999,0.4154,,
1000,0.4138,,
1001,0.4123,,
1002,0.4108,,
1003,0.4092,,
1004,0.4077,,
1005,0.4062,,
1006,0.4046,,
1007,0.4030,,
1008,0.4015,,
1009,0.3999,,
1010,0.3983,,
1011,0.3968,,
1012,0.3952,,
1013,0.3936,,
1014,0.3920,,
1015,0.3904,,
1016,0.3889,,
1017,0.3873,,
1018,0.3857,,
1019,0.3841,,
1020,0.3825,,
1021,0.3809,,
1022,0.3792,,
1023,0.3776,,
1024,0.3760,,
1025,0.3744,,
1026,0.3728,,
1027,0.3712,,
1028,0.3695,,
1029,0.3679,,
1030,0.3663,,
1031,0.3647,,
1032,0.3630,,
1033,0.3614,,
1034,0.3598,,
1035,0.3582,,
1036,0.3565,,
1037,0.3549,,
1038,0.3533,,
1039,0.3516,,
1040,0.3500,,
1041,0.3484,,
1042,0.3467,,
1043,0.3451,,
1044,0.3435,,
1045,0.3419,,
1046,0.3402,,
1047,0.3386,,
1048,0.3370,,
1049,0.3353,,
1050,0.3337,,
1051,0.3321,,
1052,0.3305,,
1053,0.3289,,
1054,0.3272,,
1055,0.3256,,
1056,0.3240,,
1057,0.3224,,
1058,0.3208,,
1059,0.3192,,
1060,0.3176,,
1061,0.3160,,
1062,0.3144,,
1063,0.3128,,
1064,0.3112,,
1065,0.3096,,
1066,0.3080,,
1067,0.3065,,
1068,0.3049,,
1069,0.3033,,
1070,0.3018,,
1071,0.3002,,
1072,0.2986,,
1073,0.2971,,
1074,0.2956,,
1075,0.2940,,
1076,0.2925,,
1077,0.2909,,
1078,0.2894,,
1079,0.2879,,
1080,0.2864,,
1081,0.2849,,
1082,0.2834,,
1083,0.2819,,
1084,0.2804,,
1085,0.2789,,
1086,0.2774,,
1087,0.2760,,
1088,0.2745,,
1089,0.2730,,
1090,0.2716,,
1091,0.2701,,
1092,0.2687,,
1093,0.2673,,
1094,0.2658,,
1095,0.2644,,
1096,0.2630,,
1097,0.2616,,
1098,0.2602,,
1099,0.2588,,
1100,0.2574,,
1101,0.2561,,
1102,0.2547,,
1103,0.2534,,
1104,0.2520,,
1105,0.2507,,
1106,0.2493,,
1107,0.2480,,
1108,0.2467,,
1109,0.2454,,
1110,0.2441,,
1111,0.2428,,
1112,0.2415,,
1113,0.2402,,
1114,0.2390,,
1115,0.2377,,
1116,0.2364,,
1117,0.2352,,
1118,0.2340,,
1119,0.2327,,
1120,0.2315,,
1121,0.2303,,
1122,0.2291,,
1123,0.2279,,
1124,0.2268,,
1125,0.2256,,
1126,0.2244,,
1127,0.2233,,
1128,0.2221,,
1129,0.2210,,
1130,0.2199,,
1131,0.2187,,
1132,0.2176,,
1133,0.2165,,
1134,0.2154,,
1135,0.2143,,
1136,0.2133,,
1137,0.2122,,
1138,0.2111,,
1139,0.2101,,
1140,0.2091,,
1141,0.2080,,
1142,0.2070,,
1143,0.2060,,
1144,0.2050,,
1145,0.2040,,
1146,0.2030,,
1147,0.2020,,
1148,0.2010,,
1149,0.2001,,
1150,0.1991,,
1151,0.1982,,
1152,0.1973,,
1153,0.1963,,
1154,0.1954,,
1155,0.1945,,
1156,0.1936,,
1157,0.1927,,
1158,0.1918,,
1159,0.1910,,
1160,0.1901,,
1161,0.1892,,
1162,0.1884,,
1163,0.1875,,
1164,0.1867,,
1165,0.1859,,
1166,0.1851,,
1167,0.1843,,
1168,0.1835,,
1169,0.1827,,
1170,0.1819,,
1171,0.1811,,
1172,0.1803,,
1173,0.1796,,
1174,0.1788,,
1175,0.1781,,
1176,0.1773,,
1177,0.1766,,
1178,0.1759,,
1179,0.1751,,
1180,0.1744,,
1181,0.1737,,
1182,0.1730,,
1183,0.1723,,
1184,0.1716,,
1185,0.1710,,
1186,0.1703,,
1187,0.1696,,
1188,0.1690,,
1189,0.1683,,
1190,0.1677,,
1191,0.1671,,
1192,0.1664,,
1193,0.1658,,
1194,0.1652,,
1195,0.1646,,
1196,0.1640,,
1197,0.1634,,
1198,0.1628,,
1199,0.1622,,
1200,0.1616,,
1201,0.1610,,
1202,0.1605,,
1203,0.1599,,
1204,0.1593,,
1205,0.1588,,
1206,0.1582,,
1207,0.1577,,
1208,0.1572,,
1209,0.1566,,
1210,0.1561,,
1211,0.1556,,
1212,0.1550,,
1213,0.1545,,
1214,0.1540,,
1215,0.1535,,
1216,0.1530,,
1217,0.1525,,
1218,0.1520,,
1219,0.1515,,
1220,0.1511,,
1221,0.1506,,
1222,0.1501,,
1223,0.1496,,
1224,0.1492,,
1225,0.1487,,
1226,0.1483,,
1227,0.1478,,
1228,0.1473,,
1229,0.1469,,
1230,0.1465,,
1231,0.1460,,
1232,0.1456,,
1233,0.1451,,
1234,0.1447,,
1235,0.1443,,
1236,0.1439,,
1237,0.1434,,
1238,0.1430,,
1239,0.1426,,
1240,0.1422,,
1241,0.1418,,
1242,0.1414,,
1243,0.1410,,
1244,0.1406,,
1245,0.1402,,
1246,0.1398,,
1247,0.1394,,
1248,0.1390,,
1249,0.1386,,
1250,0.1382,,
1251,0.1378,,
1252,0.1374,,
1253,0.1370,,
1254,0.1366,,
1255,0.1363,,
1256,0.1359,,
1257,0.1355,,
1258,0.1351,,
1259,0.1348,,
1260,0.1344,,
1261,0.1340,,
1262,0.1336,,
1263,0.1333,,
1264,0.1329,,
1265,0.1325,,
1266,0.1322,,
1267,0.1318,,
1268,0.1315,,
1269,0.1311,,
1270,0.1307,,
1271,0.1304,,
1272,0.1300,,
1273,0.1297,,
1274,0.1293,,
1275,0.1289,,
1276,0.1286,,
1277,0.1282,,
1278,0.1279,,
1279,0.1275,,
1280,0.1272,,
1281,0.1268,,
1282,0.1265,,
1283,0.1261,,
