[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,900
Processed Frames,900
Valid Tracks,5585
Overall Drift (nm/s),625.91
X-Drift (nm/s),-89.62
Y-Drift (nm/s),619.46
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),285.00
Mean (E4 nm^2/s),603.23
Standard Deviation (E4 nm^2/s),329.64

User Line 1,205
User Line 2,588
Average # centres/frame,184.60
Average # particles/frame,147.86
Equivalent particle concentration (E8 particles/ml),23.01
Selected average # particles/frame,79.40
Selected equivalent particle concentration (E8 particles/ml),12.36

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),23.90
Viscosity (cP),0.911

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
696,2.0467,,
697,2.0448,,
698,2.0427,,
699,2.0406,,
700,2.0384,,
701,2.0362,,
702,2.0339,,
703,2.0315,,
704,2.0290,,
705,2.0265,,
706,2.0239,,
707,2.0213,,
708,2.0186,,
709,2.0159,,
710,2.0131,,
711,2.0102,,
712,2.0073,,
713,2.0043,,
714,2.0013,,
715,1.9982,,
716,1.9951,,
717,1.9919,,
718,1.9887,,
719,1.9854,,
720,1.9821,,
721,1.9788,,
722,1.9754,,
723,1.9720,,
724,1.9685,,
725,1.9650,,
726,1.9615,,
727,1.9579,,
728,1.9543,,
729,1.9507,,
730,1.9470,,
731,1.9434,,
732,1.9396,,
733,1.9359,,
734,1.9322,,
735,1.9284,,
736,1.9246,,
737,1.9208,,
738,1.9170,,
739,1.9131,,
740,1.9093,,
741,1.9054,,
742,1.9015,,
743,1.8976,,
744,1.8937,,
745,1.8898,,
746,1.8859,,
747,1.8819,,
748,1.8780,,
749,1.8741,,
750,1.8701,,
751,1.8662,,
752,1.8622,,
753,1.8583,,
754,1.8544,,
755,1.8504,,
756,1.8465,,
757,1.8425,,
758,1.8386,,
759,1.8346,,
760,1.8307,,
761,1.8268,,
762,1.8228,,
763,1.8189,,
764,1.8150,,
765,1.8111,,
766,1.8072,,
767,1.8033,,
768,1.7994,,
769,1.7955,,
770,1.7916,,
771,1.7877,,
772,1.7838,,
773,1.7800,,
774,1.7761,,
775,1.7723,,
776,1.7684,,
777,1.7646,,
778,1.7608,,
779,1.7569,,
780,1.7531,,
781,1.7493,,
782,1.7455,,
783,1.7417,,
784,1.7380,,
785,1.7342,,
786,1.7304,,
787,1.7266,,
788,1.7229,,
789,1.7191,,
790,1.7154,,
791,1.7116,,
792,1.7079,,
793,1.7041,,
794,1.7004,,
795,1.6966,,
796,1.6929,,
797,1.6892,,
798,1.6854,,
799,1.6817,,
800,1.6780,,
801,1.6743,,
802,1.6705,,
803,1.6668,,
804,1.6631,,
